time,close,high,low,open,volume,ticker
2023-05-26,14991.89453125,15111.828504708657,14961.909701901139,15111.828504708657,14540476,ACB
2023-05-29,15081.8466796875,15171.797612403849,14991.895746971151,15051.86362921952,29172511,ACB
2023-05-30,15111.8291015625,15171.79698131644,14991.895123366954,15171.79698131644,36342220,ACB
2023-05-31,15231.765625,15231.765625,14991.895875266217,15111.829859476897,48306943,ACB
2023-06-01,14758.0205078125,14999.390097823876,14654.576143334447,14826.983120579162,18595937,ACB
2023-06-02,15033.87109375,15240.759824562132,14792.501501573266,14826.983253593997,20121837,ACB
2023-06-05,14999.3916015625,15275.24208028407,14930.428981882107,15171.797705435376,18307103,ACB
2023-06-06,15033.87109375,15068.351955114604,14964.909371020794,15033.87109375,13305937,ACB
2023-06-07,15068.3525390625,15171.796908477372,15033.87167636165,15033.87167636165,12534787,ACB
2023-06-08,14895.9462890625,15102.835025736915,14895.9462890625,15033.87151974134,12797832,ACB
2023-06-09,14861.4658203125,14930.42843747833,14689.058832069839,14930.42843747833,9871272,ACB
2023-06-12,14792.501953125,14930.428074762092,14723.539337634533,14930.428074762092,5865816,ACB
2023-06-13,14895.9462890625,14895.9462890625,14758.02105838366,14826.98367372308,10539663,ACB
2023-06-14,14930.4287109375,15102.835702337892,14895.946956394944,14930.4287109375,21552121,ACB
2023-06-15,14964.91015625,14964.91015625,14861.465785416067,14930.428402419964,7811744,ACB
2023-06-16,15033.87109375,15240.759824562132,14895.945866979331,14964.909371020794,29770136,ACB
2023-06-19,14930.4287109375,15068.353057139142,14895.946956394944,15033.87219325278,8664623,ACB
2023-06-20,14930.4287109375,14964.910465480056,14826.984337966027,14930.4287109375,7455726,ACB
2023-06-21,14964.91015625,14964.91015625,14861.465785416067,14895.946648589927,9141252,ACB
2023-06-22,14930.4287109375,15102.835702337892,14930.4287109375,14999.391329366417,10544557,ACB
2023-06-23,15102.8349609375,15102.8349609375,14895.94622515075,14964.909730850433,17726657,ACB
2023-06-26,15344.2041015625,15516.610188704453,15171.7962331083,15309.721459084312,15585133,ACB
2023-06-27,15309.72265625,15551.092265910325,15309.72265625,15551.092265910325,12711737,ACB
2023-06-28,15378.685546875,15447.647271826336,15240.760315660013,15309.722040611348,11420052,ACB
2023-06-29,15102.8349609375,15447.647145499015,15102.8349609375,15378.685421111632,12162371,ACB
2023-06-30,15206.279296875,15206.279296875,15033.871423644256,15102.834929199013,6768423,ACB
2023-07-03,15206.279296875,15240.76015899623,15137.315791320243,15206.279296875,5329542,ACB
2023-07-04,15171.796875,15206.279518937088,15102.83514975047,15137.316012375235,7369102,ACB
2023-07-05,15137.31640625,15240.760778128253,15137.31640625,15171.797269771962,10744519,ACB
2023-07-06,14964.91015625,15171.797116605514,14930.428402419964,15137.316253431654,10116992,ACB
2023-07-07,14964.91015625,14999.39101942386,14826.984031586031,14964.91015625,11291240,ACB
2023-07-10,15137.31640625,15240.760778128253,14964.910307327826,14999.391170849787,11944820,ACB
